city,date,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,year,month,weekday,is_weekend,season,aqi_bucket_encoded
Hyderabad,2019-09-06,-0.5774280627497395,-0.6154496977399538,-1.4764819767355595,-0.31325486473405423,-0.5279713890175183,-0.012995873739876946,-0.36256693375553456,-0.5479590684537959,1.4710748423405202,-0.21341955702556123,-0.3508545518331437,-0.6631173480657931,88.0,Satisfactory,2019.0,9.0,Friday,False,Monsoon,1
Hyderabad,2019-10-06,-0.8916170202703816,-0.9494928871063985,-1.5269990087661414,-0.48361494121482107,-0.6919552179117788,-0.3020472003529222,-0.42409400278363313,-0.527474061321987,1.4354204003266633,-0.5336901203649647,-0.5642600196514366,-0.7762866451116691,75.0,Satisfactory,2019.0,10.0,Sunday,True,Monsoon,1
Hyderabad,2019-11-06,-1.3703006002345364,-1.3542235963005782,-1.4631880209380383,-0.5805111928934731,-0.7608910950265635,-0.8378496594405187,-0.6394387443819781,-0.7707335210122197,0.3534452176753945,-0.689250108272675,-0.23964325170248402,-0.7975058883077708,60.0,Satisfactory,2019.0,11.0,Wednesday,False,Monsoon,1
Hyderabad,2019-12-06,-1.5263379156115442,-1.540512005954898,-1.566880876158706,-0.8154687704933412,-1.0063445968746603,-1.1339510184099797,-0.7624928824381751,-0.7348847585315539,0.0887795519571501,-0.8356595086564024,-0.8633282456784808,-0.7621404829809346,48.0,Good,2019.0,12.0,Friday,False,Winter,0
Hyderabad,,-1.4201987119269128,-1.600226372885187,-1.4392589005024994,-0.7033731067866656,-0.8789176725109676,-0.6249386822767633,-0.7624928824381751,-0.6068534639577471,-0.5379158326710244,-0.8631112712283512,-0.8918824984147313,-0.8682366989614431,39.0,Good,,,,False,,0
Hyderabad,,-1.2201833998040816,-1.299102642211081,-1.5163638441281242,-0.8794329627779415,-1.083636337882146,-1.1269009860535641,-0.7624928824381751,-0.8629160531053606,-0.5399728197102854,-0.8448100961803852,-0.9039053416720998,-0.8611636178960759,40.0,Good,,,,False,,0
Hyderabad,,-0.9516639004425637,-0.7532520829636973,-1.4046946154289435,-0.9389639932210349,-1.1525722149969309,-0.9139900088898085,-0.7932564169522244,-0.681111614810555,-0.5639710018349965,-0.7441536334165727,-0.8377797037565725,-0.7975058883077708,55.0,Satisfactory,,,,False,,1
Hyderabad,,-1.0662604111936995,-0.7828540768265754,-1.5721984584777147,-1.2087535567184575,-1.474272974865926,-1.194581296675155,-0.854783485980323,-0.9807048441132629,-0.5612283524493153,-0.7441536334165727,-0.8543111132354544,-0.8682366989614431,57.0,Satisfactory,,,,False,,1
Hyderabad,,-0.888656962797105,-0.47228833086862043,-1.4844583502140725,-1.0339603183961836,-1.2444867178166439,-0.27807709034110867,-0.7624928824381751,-0.6555053558957938,-0.7257873155901926,-0.7716053959885216,-0.7656426442123608,-0.7904328072424036,60.0,Satisfactory,,,,False,,1
Hyderabad,,-0.9516639004425637,-0.7445756364866466,-1.505728679490107,-1.099824437184287,-1.2747767244276855,0.12800477338843788,-0.7624928824381751,-0.8449916718650277,-0.5475151055209089,-0.7441536334165727,-0.7461055239191368,-0.7904328072424036,60.0,Satisfactory,,,,False,,1
Hyderabad,,-0.9812644751753293,-0.7256916059189485,-1.4764819767355595,-1.0643591424522314,-1.2423977518434686,-1.1071608954556,-0.7317293479241258,-0.4762615434924643,-0.49883307892506595,-0.7807559835125045,-0.8963910646362444,-0.8682366989614431,60.0,Satisfactory,,,,False,,1
Hyderabad,,-1.0924780630998634,-0.9058554651188797,-1.4817995590545683,-1.09539127534278,-1.2444867178166439,-0.7969594717733073,-0.7624928824381751,-0.4608977881436074,-0.40078336338695986,-0.7167018708446238,-0.8152368726490063,-0.8116520504385052,54.0,Satisfactory,,,,False,,1
Hyderabad,,-0.7055562648072827,-0.6894546823971491,-1.2345319812206677,-0.7293387690012064,-0.8475831829133381,-1.1649711607782092,-0.45485753729768247,-0.834749168299123,-0.28010679041698305,-0.14936544435768048,-0.17502046919412778,-0.1609285924247191,65.0,Satisfactory,,,,False,,1
Hyderabad,,-0.8476390235245582,-1.2983370734042823,-1.4844583502140725,-0.8446009768803869,-1.007389079861248,-0.5826384881382688,-0.6394387443819781,-0.9679017146558822,0.02638427843290099,-0.4055818950292033,-0.4470372978920926,-0.34482870012426736,60.0,Satisfactory,,,,False,,1
Hyderabad,,-0.7761747788125952,-1.1107727157386316,-1.3807654949934047,-0.5513789865064274,-0.71806729257647,-0.8322096335553859,-0.3318033992414853,-0.8577948013224085,-0.5221455987033569,-0.28662425721742485,-0.3448431302044594,-0.5145826456930811,60.0,Satisfactory,,,,False,,1
Hyderabad,,-0.8180384487917925,-1.0980132356253218,-1.356836374557866,-0.5374461921474055,-0.7274676394557588,-0.7476092452783971,-0.2702763302133868,-0.7886579022525527,-0.11829047666178699,-0.08531133168979983,0.08046495002495525,1.2466145395833617,62.0,Satisfactory,,,,False,,1
Hyderabad,,-0.7524943190263826,-1.0122695292638815,-1.0510753912148707,-0.30185530571303637,-0.4590355119027336,0.3239956728967956,-0.02416805410099242,-0.7912185281440288,-0.34455905098049344,0.4179709821292628,0.30739611650778775,0.46150254132759794,62.0,Satisfactory,,,,False,,1
